stop_id,stop_name,stop_desc,stop_lat,stop_lon,stop_street,stop_city,stop_region,stop_postcode,stop_country,zone_id
10,"VIRGINIA/WELLS",,  39.646675,-119.830849,,,,,,
100,"YORK/11TH",,  39.502441,-119.801765,,,,,,
101,"YORK/ROCK",,  39.541981,-119.803627,,,,,,
1015,"ARLINGTON/PLUMB",,  39.550240,-119.748253,,,,,,
1016,"ARLINGTON/MT. ROSE",,  39.544357,-119.763222,,,,,,
1017,"ARLINGTON/MONROE",,  39.547836,-119.748260,,,,,,
102,"ROCK/VANCE",,  39.541843,-119.710228,,,,,,
1025,"MIRA LOMA/CABALLO",,  39.513981,-119.853966,,,,,,
1029,"WEDEKIND/HELENA",,  39.566410,-119.782898,,,,,,
103,"ROCK/TYLER",,  39.541843,-119.706314,,,,,,
104,"ROCK/GREENBRAE",,  39.537518,-119.703758,,,,,,
1041,"WEDEKIND/(COMMUNITY GRDNS)",,  39.524231,-119.895020,,,,,,
1043,"US HWY 40/SUMMIT RIDGE",,  39.528027,-119.885483,,,,,,
1044,"LANCASTER/OLD VIRGINIA",,  39.480171,-119.790512,,,,,,
1045,"LANCASTER/YORKSHIRE",,  39.550873,-119.811501,,,,,,
1046,"CARLYLE/CARLYLE CT.",,  39.512512,-119.817268,,,,,,
1047,"CARLYLE/PENDLETON",,  39.508972,-119.817276,,,,,,
1048,"YORKSHIRE/BIRMINGHAM",,  39.507736,-119.779808,,,,,,
1049,"GOLDEN VALLEY/OLD VIRGINIA",,  42.346588, -71.064514,,,,,,
105,"GREENBRAE/LORENA",,  39.532223,-119.703926,,,,,,
1050,"GOLDEN VALLEY/OLD VIRGINIA",,  39.510471,-119.777924,,,,,,
1051,"YORKSHIRE/BIRMINGHAM",,  42.338871, -71.073593,,,,,,
1052,"CARLYLE/PENDLETON",,  42.332821, -71.081032,,,,,,
1053,"CARLYLE/CARLYLE CT",,  42.355110, -71.061714,,,,,,
1054,"LANCASTER/YORKSHIRE",,  42.349991, -71.063560,,,,,,
1055,"LANCASTER/CALRIDGE POINTE",,  42.346626, -71.064545,,,,,,
1058,"NICHOLS/McCARRAN",,  42.343918, -71.065857,,,,,,
1059,"NICHOLS/VICTORIAN",,  42.343979, -71.065895,,,,,,
106,"GREENBRAE/SULLIVAN",,  39.527988,-119.702278,,,,,,
1060,"MILL/TELEGRAPH",,  42.341324, -71.069595,,,,,,
1061,"MILL/TELEGRAPH",,  42.351898, -71.062637,,,,,,
1062,"ROCK/JOULE",,  42.350922, -71.062981,,,,,,
1067,"LANCASTER/ESSEX",,  39.521351,-119.726135,,,,,,
1068,"LANCASTER/ESSEX",,  39.521278,-119.722481,,,,,,
107,"GREENBRAE/EL RANCHO",,  39.527809,-119.708641,,,,,,
1079,"GLENDALE/(Wal Mart)",,  39.526913,-119.817383,,,,,,
108,"SILVERADA/FANTASTIC (Sak 'n Save)",,  39.530849,-119.711075,,,,,,
1080,"PYRAMID/I",,  39.530811,-119.813042,,,,,,
1081,"PYRAMID/PRATER",,  39.533123,-119.813866,,,,,,
1085,"MILL/MATLEY",,  39.518490,-119.780243,,,,,,
1087,"MILL/MATLEY",,  39.518250,-119.778999,,,,,,
1088,"OROVADA/(APARTMENTS)",,  39.529522,-119.815468,,,,,,
1089,"OROVADA/(APARTMENTS)",,  39.526672,-119.814247,,,,,,
109,"SILVERADA/PARADISE",,  39.533543,-119.713333,,,,,,
1097,"McCARRAN/KIETZKE",,  39.190002,-119.772919,,,,,,
1098,"VIRGINIA/PECKHAM (NS)",,  39.180122,-119.767242,,,,,,
110,"SILVERADA/ORCHID",,  39.538372,-119.715195,,,,,,
1106,"CAPITAL/(LAWSON PRODUCTS)",,  39.162975,-119.764442,,,,,,
1107,"GLENDALE/(CASE POWER)",,  39.167187,-119.765694,,,,,,
111,"CARVILLE/TOM SAWYER",,  39.541920,-119.806717,,,,,,
112,"TOM SAWYER/(AT CORNER)",,  39.520920,-119.858856,,,,,,
1138,"KING'S ROW/McDONALD",,  39.625568,-119.877884,,,,,,
114,"SILVERADA/TYBO",,  39.523945,-119.856377,,,,,,
