route_id,service_id,trip_id,trip_headsign,block_id
57-37,1105-1105-Weekday-01,257698-1105-1105-Weekday-01,"Outbound",18701
57-37,1105-1105-Weekday-01,257699-1105-1105-Weekday-01,"Outbound",18701
57-37,1105-1105-Weekday-01,257700-1105-1105-Weekday-01,"Outbound",18708
57-37,1105-1105-Weekday-01,257701-1105-1105-Weekday-01,"Outbound",18708
57-37,1105-1105-Weekday-01,257702-1105-1105-Weekday-01,"Outbound",18708
57-37,1105-1105-Weekday-01,257703-1105-1105-Weekday-01,"Inbound",18701
57-37,1105-1105-Weekday-01,257704-1105-1105-Weekday-01,"Inbound",18701
57-37,1105-1105-Weekday-01,257705-1105-1105-Weekday-01,"Inbound",18708
57-37,1105-1105-Weekday-01,257706-1105-1105-Weekday-01,"Inbound",18708
57-37,1105-1105-Weekday-01,257707-1105-1105-Weekday-01,"Inbound",18708
57-37,1105-1105-Weekday-01,257708-1105-1105-Weekday-01,"Inbound",18708
57-37,1105-1105-Weekday-01,257709-1105-1105-Weekday-01,"Outbound",18708
57-37,1105-1105-Weekday-01,257710-1105-1105-Weekday-01,"Outbound",18708
57-37,1105-1105-Weekday-01,257711-1105-1105-Weekday-01,"Inbound",18708
26-37,1105-1105-Weekday-01,257712-1105-1105-Weekday-01,"Outbound",18737
26-37,1105-1105-Weekday-01,257713-1105-1105-Weekday-01,"Outbound",18737
26-37,1105-1105-Weekday-01,257714-1105-1105-Weekday-01,"Outbound",18737
26-37,1105-1105-Weekday-01,257715-1105-1105-Weekday-01,"Outbound",18737
26-37,1105-1105-Weekday-01,257716-1105-1105-Weekday-01,"Outbound",18737
25-37,1105-1105-Weekday-01,257717-1105-1105-Weekday-01,"Outbound",18737
25-37,1105-1105-Weekday-01,257718-1105-1105-Weekday-01,"Outbound",18737
25-37,1105-1105-Weekday-01,257719-1105-1105-Weekday-01,"Outbound",18737
25-37,1105-1105-Weekday-01,257720-1105-1105-Weekday-01,"Outbound",18737
26-37,1105-1105-Weekday-01,257721-1105-1105-Weekday-01,"Outbound",18738
26-37,1105-1105-Weekday-01,257722-1105-1105-Weekday-01,"Outbound",18738
26-37,1105-1105-Weekday-01,257723-1105-1105-Weekday-01,"Outbound",18738
26-37,1105-1105-Weekday-01,257724-1105-1105-Weekday-01,"Outbound",18738
26-37,1105-1105-Weekday-01,257725-1105-1105-Weekday-01,"Outbound",18738
26-37,1105-1105-Weekday-01,257726-1105-1105-Weekday-01,"Outbound",18738
25-37,1105-1105-Weekday-01,257727-1105-1105-Weekday-01,"Outbound",18738
25-37,1105-1105-Weekday-01,257728-1105-1105-Weekday-01,"Outbound",18738
25-37,1105-1105-Weekday-01,257729-1105-1105-Weekday-01,"Outbound",18738
25-37,1105-1105-Weekday-01,257730-1105-1105-Weekday-01,"Outbound",18738
21-37,1105-1105-Weekday-01,257731-1105-1105-Weekday-01,"Clockwise",18738
21-37,1105-1105-Weekday-01,257732-1105-1105-Weekday-01,"Clockwise",18739
26-37,1105-1105-Weekday-01,257733-1105-1105-Weekday-01,"Outbound",18739
26-37,1105-1105-Weekday-01,257734-1105-1105-Weekday-01,"Outbound",18740
26-37,1105-1105-Weekday-01,257735-1105-1105-Weekday-01,"Outbound",18740
26-37,1105-1105-Weekday-01,257736-1105-1105-Weekday-01,"Outbound",18740
26-37,1105-1105-Weekday-01,257737-1105-1105-Weekday-01,"Outbound",18740
26-37,1105-1105-Weekday-01,257738-1105-1105-Weekday-01,"Outbound",18740
26-37,1105-1105-Weekday-01,257739-1105-1105-Weekday-01,"Outbound",18740
25-37,1105-1105-Weekday-01,257740-1105-1105-Weekday-01,"Outbound",18740
25-37,1105-1105-Weekday-01,257741-1105-1105-Weekday-01,"Outbound",18740
25-37,1105-1105-Weekday-01,257742-1105-1105-Weekday-01,"Outbound",18740
25-37,1105-1105-Weekday-01,257743-1105-1105-Weekday-01,"Outbound",18740
25-37,1105-1105-Weekday-01,257744-1105-1105-Weekday-01,"Outbound",18740
21-37,1105-1105-Weekday-01,257745-1105-1105-Weekday-01,"Clockwise",18740
54-37,1105-1105-Weekday-01,257746-1105-1105-Weekday-01,"Outbound",18702
54-37,1105-1105-Weekday-01,257747-1105-1105-Weekday-01,"Outbound",18702
54-37,1105-1105-Weekday-01,257748-1105-1105-Weekday-01,"Outbound",18702
54-37,1105-1105-Weekday-01,257749-1105-1105-Weekday-01,"Outbound",18702
