Number,Name,Address,DateListed,Note,Latitude,Longitude
94-1,Giraud/Hardy House,442 Flint Street,04/05/94,,,
96-1,Phillips Stone House,1907 So. Arlington Ave.,03/12/96,,,
96-2,Southside School Annex,190 Liberty,04/09/96,,,
97-1,California Building,1000 Whitmore Lane,03/03/98,,,
98-1,Mary Sherman House,847 North Center Street,01/12/99,,,
99-1,Lear Theater/First Church of Christ Scientist,501 Riverside,08/17/99,,,
00-2,Washoe County Courthouse,75 Court Street,03/14/00,,,
00-3,McKinley Park School,925 Riverside,06/27/00,,,
00-4,El Cortez,239 West Second Street,06/27/00,,,
00-5,Nystrom House,333 Ralston Street,06/27/00,,,
03-1,Pearl Upson House,937 Jones Street,09/22/04,,,
03-2,Patrick Ranch House,1225 Gordon Avenue,09/22/04,,,
08-1,Crissie Caughlin Ranch,3636 Mayberry Drive,11/11/08,,,
00-1,Mizpah Hotel,214 Lake Street,03/14/00,"Lost to fire October 31, 2006",,
