Last 365 - Daily (Solar)
Time,Value,Solar Radiation
10/20,66.869140625,152.53312575511444
10/21,237.044921875,201.78584795445204
10/22,184.83203125,181.63738062232733
10/23,84.921875,53.750188782811165
10/24,88.00390625,71.59241240183958
10/25,215.4140625,146.623844952633
10/26,242.248046875,206.0833385114869
10/27,239.49609375,197.86854496474064
10/28,216.59375,199.2615666275711
10/29,202.86328125,174.60019401246768
10/30,196.5625,147.6543249894946
10/31,199.7240625000004,172.5306796365778
11/1,189.6353124999996,188.43830261686628
11/2,216.302734375,188.045868866408
11/3,189.296875,156.9182206495473
11/4,144.9375,126.04126343094396
11/5,138.2265625,129.81358099332894
11/6,180.462890625,164.5573406990707
11/7,62.154296875,42.72137278650322
11/8,179.82421875,151.522439781079
11/9,176.8515625,142.2115455513298
11/10,113.11328125,90.02357962406604
11/11,185.423828125,162.9901190781117
11/12,198.365234375,158.53719304293642
11/13,129.125,101.457336744966
11/14,79.013671875,66.04448826115329
11/15,195.73046875,160.24358057669005
11/16,188.90234375,160.70491459535427
11/17,176.966796875,156.82292595888592
11/18,131.166015625,111.01790636997322
11/19,63.54296875,93.69679739608988
11/20,152.3515625,133.18141578254648
11/21,10.21875,137.79332369285046
11/22,151.28125,139.19149407624727
11/23,25.138671875,58.16053627168555
11/24,0,153.9546951103503
11/25,0,148.02969116171434
11/26,0,92.70966775818324
11/27,0,88.31556499882902
11/28,0,89.65366601131396
11/29,0,145.0535146229869
11/30,0,56.84950851519488
12/1,0,124.7090468687082
12/2,0,113.61925110755416
12/3,0,59.298259796616456
12/4,0,27.669390202518375
12/5,0,129.60694981162624
12/6,0,98.62219934344236
12/7,19.91796875,126.51882797493964
12/8,66.744140625,43.29672287100676
12/9,74.97265625,54.11022998569549
12/10,99.77734375,91.42212509934112
12/11,142.9296875,116.57762849979356
12/12,132.078125,133.31789455909603
12/13,111.251953125,94.4114072210782
12/14,72.537109375,67.7488925743716
12/15,134.591796875,128.8148253813263
12/16,99.177734375,113.0896845281444
12/17,0.1640625,12.352530771332791
12/18,31.66015625,53.651285408332235
12/19,11.79296875,9.604543597766645
12/20,7.71875,63.027006194161515
12/21,70.49609375,87.18295642911214
12/22,86.23046875,70.40741295827969
12/23,146.0625,122.75392687978108
12/24,134.716796875,105.2296910515684
12/25,133.955078125,107.32711232053116
12/26,126.0703125,85.11333699241015
12/27,151.875,121.0132514929751
12/28,64.296875,49.0582850056905
12/29,117.955078125,92.74550931636519
12/30,19.615234375,123.12356166145484
12/31,83.6796875,125.22016836141717
1/1,108.052734375,67.42503538594953
1/2,113.0078125,87.99298525411787
1/3,97.884765625,76.89155849402522
1/4,160.326171875,132.31544845055362
1/5,157.021484375,123.04246750988088
1/6,101.15625,85.22882791218123
1/7,136.1328125,105.47460856622136
1/8,119.14453125,97.85488809615998
1/9,126.9375,85.68724400312745
1/10,155.5703125,127.6924418915156
1/11,60.736328125,46.22797705443616
1/12,149.19921875,110.48270962812528
1/13,75.6015625,62.55777560513209
1/14,159.76953125,130.17728277979504
1/15,151.70703125,128.2853080736839
1/16,139.154296875,106.67270714134558
1/17,151.84375,142.6414114481262
1/18,139.79296875,125.71666474757772
1/19,178.875,142.70858625286294
1/20,144.62890625,144.97406920648038
1/21,171.228515625,144.96658966040022
1/22,173.6796875,150.85058498982707
1/23,143.048828125,123.26981725910504
1/24,150.09375,126.1434332093328
1/25,169.359375,151.51711713740212
1/26,155.3515625,135.23674811645193
1/27,168.9140625,154.4934863259513
1/28,151.009765625,144.2623954342345
1/29,108.4296875,103.13998923465395
1/30,94.205078125,75.28105834528604
1/31,205.673828125,212.8689294627057
2/2,26.66796875,27.539696460047946
2/3,210.765625,164.91590682885612
2/4,171.99609375,135.31424725372844
2/5,126.591796875,98.12516141899681
2/6,204.69921875,164.47020541518697
2/7,216.78125,171.7759586326788
2/8,115.59765625,82.20057340305932
2/9,205.134765625,179.00134885022555
2/10,230.048828125,180.8939148419761
2/11,225.890625,177.20027131642829
2/12,222.880859375,184.53113413738708
2/13,143.95351562499857,125.57529702988528
2/14,146.95468750000146,151.32077748383082
2/15,239.087890625,191.7721788799672
2/16,13.490234375,100.33060279506041
2/17,32.556640625,96.25753578659516
2/18,0.037109375,61.87120500346712
2/19,0.005859375,196.39897636525623
2/20,0.56640625,205.36578859188205
2/21,0.791015625,144.10215713781008
2/22,3.244140625,216.97748386205467
2/23,32.833984375,213.78976903972625
2/24,196.265625,189.8610758851255
2/25,0.025390625,65.79670581416194
2/26,0,156.04885062147912
2/27,0,228.93182749976177
2/28,6.330078125,227.13895574897504
3/1,196.826171875,168.48729260458876
3/2,251.98046875,197.9763621374622
3/3,256.138671875,225.194733967984
3/4,253.767578125,199.6591269423318
3/5,211.822265625,161.4328981945665
3/6,148.98046875,103.98642270508888
3/7,185.2421875,142.84939358072683
3/8,277.294921875,233.45267602403473
3/9,195.017578125,163.20931867352795
3/10,256.806640625,193.56743050867655
3/11,308.166015625,247.80246057212423
3/12,287.455078125,246.27721839663135
3/13,117.81289062499856,77.76369641349471
3/14,193.82382812500143,124.62968200090621
3/15,149.490234375,105.60140756911294
3/16,215.966796875,160.4843845127502
3/17,269.951171875,221.5040361793384
3/18,298.41015625,235.15874500665356
3/19,112.44921875,106.33480940208489
3/20,76.60546875,49.16120611694904
3/21,254.14453125,252.1404251154125
3/22,263.58984375,204.1754696580685
3/23,100.39453125,86.61301833794141
3/24,130.03515625,93.014107626002
3/25,62.703125,192.2329101691763
3/26,301.318359375,224.5426742875169
3/27,315.287109375,265.8322164762397
3/28,291.521484375,263.0729579987882
3/29,213.6171875,193.6402828426027
3/30,293.904296875,250.71057643602455
3/31,309.181640625,301.71031846168125
4/1,279.90234375,240.01680209756765
4/2,103.310546875,104.1907021094504
4/3,312.23046875,300.69873416801295
4/4,274.4140625,278.5847287011428
4/5,186.291015625,139.90981424452306
4/6,361.005859375,299.2600295405717
4/7,174.7265625,127.51124690271229
4/8,204.47265625,150.25644332062387
4/9,299.619140625,234.97174215915035
4/10,335.021484375,294.8290408152831
4/11,259.533203125,215.39425317317964
4/12,352.83203125,303.8567064520799
4/13,260.19921875,230.4194020347887
4/14,324.1953125,281.8449732819697
4/15,128.609375,172.47021412411453
4/16,319.80078125,280.3020873033748
4/17,263.7734375,244.1504010438
4/18,235.9140625,197.49886223075953
4/19,322.10546875,280.659421274374
4/20,336.3671875,266.65676343275385
4/21,359.66015625,287.22877422844726
4/22,211.478515625,172.82395140382508
4/23,167.771484375,154.93037920221502
4/24,22.46875,59.21237264314506
4/25,369.326171875,287.0166114295627
4/26,388.515625,329.7441202724561
4/27,393.02734375,325.5767309365555
4/28,285.818359375,555.5621904044018
4/29,390.91796875,487.04390404924226
5/1,8.98046875,38.23913017125105
5/2,325.41015625,293.11310109114254
5/3,384.03125,327.7108655574598
5/4,389.20703125,331.8461788471924
5/5,319.4921875,312.27628645113475
5/6,352.79140624999854,306.6097395591842
5/7,282.58359375000146,230.0190134568866
5/8,348.19140625,295.77755578245126
5/9,233.08203125,197.08467719184807
5/10,320.97265625,253.99720425277948
5/11,237.5859375,242.62404237667428
5/12,377.453125,335.613123878633
5/13,238.015625,333.9395061629893
5/16,296.1953125,266.409197987474
5/17,270.18359375,185.93570594779897
5/18,272.4609375,192.88712289333623
5/19,295.203125,274.60496941372554
5/20,368.484375,318.1928937168497
