Last 365 - Daily (Solar)
Time,Value,Solar Radiation
11/11,329.29296875,228.3342830297562
11/12,371.125,158.53719304293642
11/13,246.94921875,101.457336744966
11/14,160.57421875,66.04448826115329
11/15,368.19921875,160.24358057669005
11/16,373.7578125,160.70491459535427
11/17,362.8515625,156.82292595888592
11/18,248.3203125,111.01790636997322
11/19,208.62109375,93.69679739608988
11/20,272.75390625,133.18141578254648
11/21,29.1484375,137.79332369285046
11/22,327.91796875,139.19149407624727
11/23,27.90234375,56.96253233932318
12/1,3.3125,10.339386272689728
12/2,259.9375,113.61925110755416
12/3,144.046875,59.298259796616456
12/4,65.359375,27.669390202518375
12/5,310.796875,129.60694981162624
12/6,253.8828125,98.62219934344236
12/7,287.6015625,126.51882797493964
12/8,110.94140625,43.29672287100676
12/9,118.7890625,54.11022998569549
12/10,225.30859375,91.42212509934112
12/11,281.5234375,116.57762849979356
12/12,303.265625,133.31789455909603
12/13,213.91796875,94.4114072210782
12/14,179.32421875,67.7488925743716
12/15,288.203125,128.8148253813263
12/16,265.515625,113.0896845281444
12/17,0.27734375,12.352530771332791
12/18,46.8203125,53.651285408332235
12/19,20.32421875,9.604543597766645
12/20,21.6796875,63.027006194161515
12/21,173.16015625,87.18295642911214
12/22,168.5703125,70.40741295827969
12/23,278.3125,122.75392687978108
12/24,254.75390625,105.2296910515684
12/25,246.6328125,107.32711232053116
12/26,212.9453125,85.11333699241015
12/27,274.1171875,121.0132514929751
12/28,121.39453125,49.0582850056905
12/29,217.890625,92.74550931636519
12/30,16.89453125,123.12356166145484
12/31,38.328125,125.22016836141717
1/1,17.87890625,67.42503538594953
1/2,104.0546875,87.99298525411787
1/3,186.8203125,76.89155849402522
1/4,314.3359375,132.31544845055362
1/5,307.19140625,123.04246750988088
1/6,203.69921875,85.22882791218123
1/7,256.0984375000007,105.47460856622136
1/8,223.96015624999927,97.85488809615998
1/9,208.58203125,85.68724400312745
1/10,289.79296875,127.6924418915156
1/11,119.3046875,46.22797705443616
1/12,267.91015625,110.48270962812528
1/13,130.25,62.55777560513209
1/14,297.6015625,130.17728277979504
1/15,286.96484375,128.2853080736839
1/16,249.44921875,106.67270714134558
1/17,310.30078125,142.6414114481262
1/18,284.1171875,125.71666474757772
1/19,0,0
1/21,120.171875,127.80866359409666
1/22,329.45703125,150.85058498982707
1/23,273.79062500000146,123.26981725910504
1/24,276.49843749999854,181.9365733048062
1/25,0,0
1/26,291.60546875,135.23674811645193
1/27,323.22265625,154.4934863259513
1/28,300.22265625,144.2623954342345
1/29,219.09765625,103.13998923465395
1/30,208.3671875,75.28105834528604
1/31,405.83984375,212.8689294627057
2/2,47.7890625,27.539696460047946
