Last 365 - Daily (Solar)
Time,Value,Solar Radiation
11/18,198.5546875,172.25358151720798
11/19,206.3203125,93.69679739608988
11/20,274.96875,133.18141578254648
11/21,27.6640625,137.79332369285046
11/22,331.578125,139.19149407624727
11/23,28.609375,56.96253233932318
12/1,5.3828125,10.339386272689728
12/2,257.375,113.61925110755416
12/3,140.9765625,59.298259796616456
12/4,63.90625,27.669390202518375
12/5,309.375,129.60694981162624
12/6,258.2265625,98.62219934344236
12/7,284.7890625,126.51882797493964
12/8,108.5625,43.29672287100676
12/9,118.953125,54.11022998569549
12/10,226.09375,91.42212509934112
12/11,281.3828125,116.57762849979356
12/12,299.703125,133.31789455909603
12/13,209.578125,94.4114072210782
12/14,178.859375,67.7488925743716
12/15,285.5859375,128.8148253813263
12/16,267.3984375,113.0896845281444
12/17,0.3515625,12.352530771332791
12/18,58.375,53.651285408332235
12/19,20.25,9.604543597766645
12/20,14.0234375,63.027006194161515
12/21,126.1484375,87.18295642911214
12/22,166.5234375,70.40741295827969
12/23,278.8515625,122.75392687978108
12/24,254.6796875,105.2296910515684
12/25,241.6171875,107.32711232053116
12/26,208.265625,85.11333699241015
12/27,270.1484375,121.0132514929751
12/28,120.1953125,49.0582850056905
12/29,210.625,92.74550931636519
12/30,17.78125,123.12356166145484
12/31,51.625,125.22016836141717
1/1,42.578125,67.42503538594953
1/2,189.3359375,87.99298525411787
1/3,190.2890625,76.89155849402522
1/4,312.640625,132.31544845055362
1/5,311.3828125,123.04246750988088
1/6,210.890625,85.22882791218123
1/7,260.8234374999993,105.47460856622136
1/8,226.37187500000073,97.85488809615998
1/9,200.5,85.68724400312745
1/10,288.453125,127.6924418915156
1/11,117.6484375,46.22797705443616
1/12,263.875,110.48270962812528
1/13,131.4453125,62.55777560513209
1/14,294,130.17728277979504
1/15,287.1015625,128.2853080736839
1/16,252.3984375,106.67270714134558
1/17,309.7890625,142.6414114481262
1/18,285.359375,125.71666474757772
1/19,0,0
1/21,127.9921875,127.80866359409666
1/22,330.328125,150.85058498982707
1/23,272.72031250000146,123.26981725910504
1/24,267.34999999999854,181.9365733048062
1/25,0,0
1/26,285.7734375,135.23674811645193
1/27,322.3828125,154.4934863259513
1/28,297.265625,144.2623954342345
1/29,221.3671875,103.13998923465395
1/30,208.3515625,75.28105834528604
1/31,405.9453125,212.8689294627057
2/2,53.7421875,27.539696460047946
2/3,406.7421875,164.91590682885612
2/4,333.21875,135.31424725372844
2/5,246.4609375,98.12516141899681
2/6,392.6953125,164.47020541518697
2/7,417.40625,171.7759586326788
2/8,212.453125,82.20057340305932
2/9,447.015625,179.00134885022555
2/10,440.3046875,180.8939148419761
2/11,424.0703125,177.20027131642829
2/12,432.140625,184.53113413738708
2/13,304.30312499999854,125.57529702988528
2/14,351.65781250000146,151.32077748383082
2/15,471.9921875,191.7721788799672
2/16,22.609375,100.33060279506041
2/17,36.4140625,96.25753578659516
2/18,0.1796875,61.87120500346712
2/19,0.0546875,196.39897636525623
2/20,0.484375,205.36578859188205
2/21,0.4921875,144.10215713781008
2/22,2.8828125,216.97748386205467
2/23,16.8671875,213.78976903972625
2/24,128.5859375,189.8610758851255
2/25,2.8984375,65.79670581416194
2/26,14.203125,156.04885062147912
2/27,63.9375,228.93182749976177
2/28,480.421875,227.13895574897504
3/1,406.9140625,168.48729260458876
3/2,482.5703125,197.9763621374622
3/3,544.65625,288.2492594790195
3/16,43.4140625,59.4457144328099
3/17,553.3828125,221.5040361793384
3/18,573.1875,235.15874500665356
3/19,108.0859375,106.33480940208489
3/20,145.546875,49.16120611694904
3/21,486.2265625,252.1404251154125
3/22,478.6484375,204.1754696580685
3/23,169.21875,86.61301833794141
3/24,226.875,93.014107626002
3/25,83.78125,192.2329101691763
3/26,542.125,224.5426742875169
3/27,633.578125,265.8322164762397
3/28,606.390625,263.0729579987882
3/29,459.9921875,193.6402828426027
3/30,557.7890625,250.71057643602455
3/31,616.2265625,301.71031846168125
4/1,542.1015625,240.01680209756765
4/2,248.1953125,104.1907021094504
4/3,688.640625,300.69873416801295
4/4,613.578125,278.5847287011428
4/5,363.84375,139.90981424452306
4/6,691.609375,299.2600295405717
4/7,337.328125,127.51124690271229
4/8,417.1015625,150.25644332062387
4/9,582.734375,234.97174215915035
4/10,667.7421875,294.8290408152831
4/11,509.109375,215.39425317317964
4/12,686.8515625,303.8567064520799
4/13,593.7890625,230.4194020347887
4/14,661.296875,281.8449732819697
4/15,405.265625,172.47021412411453
4/16,624.140625,280.3020873033748
4/17,554.671875,244.1504010438
4/18,455.3046875,197.49886223075953
4/19,644.3359375,280.659421274374
4/20,634.40625,266.65676343275385
4/21,685.984375,287.22877422844726
4/22,408.625,172.82395140382508
4/23,320.1015625,154.93037920221502
4/24,38.796875,55.394334929187345
4/25,673.4140625,287.0166114295627
4/26,746.734375,329.7441202724561
4/27,641.359375,325.5767309365555
4/28,542.2781249999971,555.5621904044018
4/29,786.1437500000029,487.04390404924226
5/1,17.7421875,38.23913017125105
5/2,654.4296875,293.11310109114254
5/3,708.7421875,327.7108655574598
5/4,718.8828125,331.8461788471924
5/5,680.328125,312.27628645113475
5/6,533.8562499999971,306.6097395591842
5/7,0,230.0190134568866
5/8,0,295.77755578245126
5/9,0,197.08467719184807
5/10,0,253.99720425277948
5/11,1.1484375,275.35258737803275
5/20,314.53125,339.26350852725307
5/21,533.53125,228.0002452270546
5/22,106.93281250000292,442.03539951582457
5/23,1245.871874999997,445.9720391228648
5/24,720.3828125,324.30102740277044
5/25,537.46875,235.9490659441154
5/26,679.140625,287.7054926462511
5/27,505.1484375,219.66675773095184
5/28,614.640625,258.2943753362011
5/29,384.3828125,152.88765810377058
5/30,720.4765625,315.91671286710454
5/31,668.71875,299.0671828838789
6/1,590.453125,258.56837491525556
6/2,611.453125,272.07591401634653
6/3,471.65625,194.65463252365592
6/4,329.1953125,131.44572813256
6/5,481.91093749999715,212.7686684896797
6/6,303.8703125000029,113.62966701854022
6/7,731.2265625,333.0427520264638
6/8,603.6328125,290.1604132569499
6/9,718.9296875,331.97812299626986
6/10,743.828125,337.5583484413247
6/11,568.859375,248.48699317487072
6/12,718.4375,333.06305389106274
6/13,733.2734375,323.59654653900196
6/14,708.84375,333.1488441528976
6/15,721.8046875,338.93002753518834
6/16,704.875,302.5612452734883
6/17,699.9453125,328.3731500870652
6/18,611.1484375,262.0481769231458
6/19,750.2578125,339.8081690810828
6/20,713.4921875,342.26297301550693
6/21,694.3984375,336.9378693422509
6/22,704.078125,337.5915195676757
6/23,728.0859375,338.92405444259447
6/24,738.734375,342.53304361387444
6/25,730.3359375,341.0261644927992
6/26,711.4296875,336.9918693312721
6/27,710.21875,333.24953112130373
6/28,463.703125,197.479306432522
6/29,522.609375,230.1609793164664
6/30,727.109375,336.2615552063483
7/1,708.6875,335.24687813387976
7/2,699.0078125,338.17888420218964
7/3,696.71875,337.6647786647083
7/4,705.359375,336.7991427433672
7/5,624.8515625,293.54857838531666
7/6,560.421875,270.235504920284
7/7,709.8125,325.85334846012285
7/8,706.71875,334.5690688821949
7/9,718.1875,339.80114252052607
7/10,122.00625000000582,330.65561238593585
7/11,1316.9859374999942,337.5095698351925
7/12,715.328125,333.869948580375
7/13,709.96875,322.9695918221239
7/14,691.53125,319.84500335894217
7/15,656.703125,298.60748411466676
7/16,655.34375,401.5507270279384
7/18,705.4921875,414.18276690083616
7/19,727.609375,329.7541715924939
7/20,703.03125,327.71217515367283
7/21,689.859375,326.9503105207205
7/22,685.734375,322.7570070756806
7/23,653.546875,318.43997932016356
7/24,662.890625,315.78660877959595
7/25,709.53125,330.5616232236756
7/26,689.34375,325.63047020125106
7/27,667.734375,318.68342394282155
7/28,644.71875,306.5727358996978
7/29,626.90625,299.79150072733563
7/30,664.390625,311.8918988517252
7/31,523.890625,229.69953770024907
8/1,634.6015625,289.9698926675288
8/2,678.171875,320.9067760894989
8/3,670.2578125,320.46543249489883
8/4,682.578125,315.9288153271091
8/5,672.5625,321.03401720575556
8/6,671.1796875,318.48484983046853
8/7,683.34375,320.3660334184404
8/8,674.90625,320.42926773233495
8/9,671.453125,318.49950113667654
8/10,677.4375,319.4784975343528
8/11,665.1640625,316.82743154797544
8/12,644.0703125,304.11174280386564
8/13,628.2265625,299.8480299495989
8/14,669.9765625,311.637557972158
8/15,666.46875,308.8529970859863
8/16,649.3984375,309.2665766583373
8/17,652.9140625,311.59989645000957
8/18,624.640625,289.9168228556712
8/19,635.171875,303.324261645476
8/20,625.703125,294.3101858606355
8/21,631.296875,297.8596034451491
8/22,638.296875,302.9414232410906
8/23,612.1484375,293.47985679820704
8/24,587.390625,278.1162382935743
8/25,609.015625,288.4723719896541
8/26,599.0703125,286.36259954562405
8/27,300.6640625,125.99210235240751
8/28,610.4296875,292.7465980980132
8/29,618.6015625,294.9249463859532
8/30,618.7578125,294.4881753129865
8/31,619.515625,287.52315037035277
9/1,612.6796875,283.09303887446
9/2,609,283.7182648624811
9/3,595.46875,280.7628298091392
9/4,538.765625,251.3550666497192
9/5,566.078125,262.5962470940398
9/6,582.53125,275.02480599337684
9/7,475.296875,217.6540356901112
9/8,496.03125,212.22132643744405
9/9,516.703125,233.37481012671356
9/10,476.140625,211.7105146297512
9/11,305.59375,127.93901109525336
9/12,330.96875,143.55193526396758
9/13,510.453125,226.29873742961604
9/14,540.1875,237.4864718083845
9/15,525.8125,223.15387583306645
9/16,497.71875,213.9907536647387
9/17,566.453125,249.9736814498901
9/18,561.40625,249.59596859746503
9/19,524.65625,247.78563275580828
9/20,515.234375,249.56686592385017
9/21,532.09375,240.72732224232615
9/22,425.8554335686203,459.15064123099506
9/23,510.3320664313797,234.62841198855153
9/24,410.390625,177.39582058373423
9/25,273.109375,115.04291953601773
9/26,534.1875,238.1313559984849
9/27,514.140625,233.68518990857729
9/28,505.3125,230.04918166001633
9/29,460.703125,207.40686154365537
9/30,431.703125,188.4795451089998
10/1,534.40625,231.4131873134498
10/2,294.265625,119.66903730233535
10/3,491.890625,204.48448253257405
10/4,384.703125,160.2774168000453
10/5,438.75,173.79758581719295
10/6,335.40625,144.43474664026874
10/7,478.578125,202.3570778369906
10/8,508.34375,216.8124481183714
