Last 365 - Daily (Solar)
Time,Value,Solar Radiation
11/9,81.701171875,180.55206455000317
11/10,76.271484375,90.02357962406604
11/11,119.134765625,162.9901190781117
11/12,116.021484375,158.53719304293642
11/13,80.998046875,101.457336744966
11/14,54.150390625,66.04448826115329
11/15,113.197265625,160.24358057669005
11/16,115.560546875,160.70491459535427
11/17,112.5078125,156.82292595888592
11/18,80.75,111.01790636997322
11/19,76.6953125,93.69679739608988
11/20,95.412109375,133.18141578254648
11/21,25.361328125,137.79332369285046
11/22,112.26953125,139.19149407624727
11/23,18.60546875,58.16053627168555
11/24,91,153.9546951103503
11/25,115.537109375,148.02969116171434
11/26,75.572265625,92.70966775818324
11/27,72.287109375,88.31556499882902
11/28,72.365234375,89.65366601131396
11/29,110.98046875,145.0535146229869
11/30,51.099609375,56.84950851519488
12/1,95.51171875,124.7090468687082
12/2,88.14453125,113.61925110755416
12/3,46.548828125,59.298259796616456
12/4,23.8125,27.669390202518375
12/5,97.78515625,129.60694981162624
12/6,80.986328125,98.62219934344236
12/7,94.1328125,126.51882797493964
12/8,36.41015625,43.29672287100676
12/9,43.72265625,54.11022998569549
12/10,76.4765625,91.42212509934112
12/11,90.27734375,116.57762849979356
12/12,96.359375,133.31789455909603
12/13,71.705078125,94.4114072210782
12/14,60.087890625,67.7488925743716
12/15,103.28515625,128.8148253813263
12/16,94.806640625,113.0896845281444
12/17,0.48046875,12.352530771332791
12/18,31.916015625,53.651285408332235
12/19,7.658203125,9.604543597766645
12/20,13.59765625,63.027006194161515
12/21,66.2890625,87.18295642911214
12/22,59.1640625,70.40741295827969
12/23,90.45703125,122.75392687978108
12/24,83.287109375,105.2296910515684
12/25,81.62109375,107.32711232053116
12/26,68.8125,85.11333699241015
12/27,89.1328125,121.0132514929751
12/28,43.169921875,49.0582850056905
12/29,73.001953125,92.74550931636519
12/30,19.09375,123.12356166145484
12/31,80.130859375,125.22016836141717
1/1,21.16015625,67.42503538594953
1/2,70.873046875,87.99298525411787
1/3,65.953125,76.89155849402522
1/4,100.3046875,132.31544845055362
1/5,97.470703125,123.04246750988088
1/6,68.640625,85.22882791218123
1/7,83.486328125,105.47460856622136
1/8,74.998046875,97.85488809615998
1/9,65.970703125,85.68724400312745
1/10,94.91796875,127.6924418915156
1/11,40.43359375,46.22797705443616
1/12,85.025390625,110.48270962812528
1/13,48.62109375,62.55777560513209
1/14,93.466796875,130.17728277979504
1/15,90.578125,128.2853080736839
1/16,77.619140625,106.67270714134558
1/17,97.064453125,142.6414114481262
1/18,89.873046875,125.71666474757772
1/19,104.494140625,142.70858625286294
1/20,103.109375,144.97406920648038
1/21,100.541015625,144.96658966040022
1/22,104.291015625,150.85058498982707
1/23,90.03125,123.26981725910504
1/24,90.8828125,126.1434332093328
1/25,103.921875,151.51711713740212
1/26,96.123046875,135.23674811645193
1/27,106.142578125,154.4934863259513
1/28,99.162109375,144.2623954342345
1/29,77.44921875,103.13998923465395
1/30,64.099609375,75.28105834528604
1/31,115.615234375,215.85824663620028
2/2,13.751953125,27.539696460047946
2/3,116.642578125,164.91590682885612
2/4,98.46484375,135.31424725372844
2/5,74.966796875,98.12516141899681
2/6,114.638671875,164.47020541518697
2/7,121.455078125,171.7759586326788
2/8,63.482421875,82.20057340305932
2/9,129.3046875,179.00134885022555
2/10,128.037109375,180.8939148419761
2/11,124.255859375,177.20027131642829
2/12,126.314453125,184.53113413738708
2/13,94.70937500000036,125.57529702988528
2/14,113.65976562499964,151.32077748383082
2/15,139.640625,191.7721788799672
2/16,9.703125,100.33060279506041
2/17,15.962890625,96.25753578659516
2/18,0.458984375,61.87120500346712
2/19,0.478515625,196.39897636525623
2/20,0.9296875,205.36578859188205
2/21,1.314453125,144.10215713781008
2/22,5.14453125,216.97748386205467
2/23,73.701171875,213.78976903972625
2/24,159.802734375,189.8610758851255
2/25,3.228515625,65.79670581416194
2/26,11.40625,156.04885062147912
2/27,86.46484375,228.93182749976177
2/28,171,227.13895574897504
3/1,136.248046875,168.48729260458876
3/2,159.5703125,197.9763621374622
3/3,179.232421875,225.194733967984
3/4,160.611328125,199.6591269423318
3/5,129.97265625,161.4328981945665
3/6,95.4765625,103.98642270508888
3/7,114.220703125,142.84939358072683
3/8,184.41015625,233.45267602403473
3/9,132.9921875,163.20931867352795
3/10,152.04296875,193.56743050867655
3/11,189.654296875,247.80246057212423
3/12,191.224609375,246.27721839663135
3/13,70.79765625000073,77.76369641349471
3/14,110.43476562499929,124.62968200090621
3/15,91.78515625,105.60140756911294
3/16,142.86328125,160.4843845127502
3/17,179.857421875,221.5040361793384
3/18,193.4296875,235.15874500665356
3/19,45.607421875,106.33480940208489
3/20,51.91015625,49.16120611694904
3/21,170.15625,252.1404251154125
3/22,167.068359375,204.1754696580685
3/23,69.396484375,86.61301833794141
3/24,79.322265625,93.014107626002
3/25,46.380859375,192.2329101691763
3/26,182.76171875,224.5426742875169
3/27,212.98828125,265.8322164762397
3/28,208.43359375,263.0729579987882
