Last 365 - Daily (Wind)
Time,Value,Avg. Wind Speed
11/11,0,1.1231634686688914
11/12,0.111328125,0.8617581551535088
11/13,0,0.2676668251212522
11/14,0,0.27124198717948717
11/15,0,0.6002898550724637
11/16,1.9140625,2.16522197420635
11/17,0,0.3550939288850119
11/18,0,12.56238705910468
11/19,0,8.060711185515872
11/20,0,6.124336902006173
11/21,0,4.207949422780154
11/22,0,5.1238754906400965
11/23,0,6.960746837797618
11/24,0,0.30718747805667185
11/25,0,0.33442207532051293
11/26,0,0.11470811631944446
11/27,0,6.235728870738638
11/28,0,4.703542540358948
11/29,0,0.573025173611111
11/30,0,0.15627303685897434
12/1,0,0.2607615300422706
12/2,0,7.975809997294373
12/3,0,3.0247020771216846
12/4,0,1.1686967666785373
12/5,0,1.3261836438301284
12/6,0,3.09940504374098
12/7,0,0.2906729714912281
12/8,0,7.6168852306547645
12/9,0,2.5450579354268412
12/10,0,4.2605078125
12/11,0,1.948695591517857
12/12,0,0.4051742311507936
12/13,0,1.9112425432069753
12/14,0,6.5662401355675035
12/15,0,0.8520476466049384
12/16,0,2.8884418874547095
12/17,0,0.25107543187111797
12/18,0,6.943838836720034
12/19,0,5.972638149610808
12/20,0,3.807254774305555
12/21,0,0.5852889244002527
12/22,0,0.4047371847587722
12/23,0,0.20542850087233175
12/24,0,0.267790035485348
12/25,0,2.9807093523550723
12/26,0,4.103130440664407
12/27,0,0.7614861436885138
12/28,0,4.806099017687559
12/29,0,6.4422816506410285
12/30,0,3.1453975900307416
12/31,0,1.3585140348503837
1/1,0,0.4770299319624292
1/2,0,0.7839887894705603
1/3,0,1.6181486227766797
1/4,0,0.08225601438492064
1/5,0,0.20340081075533664
1/6,0,0.3569994848901099
1/7,0.0000031250000001037392,0.07490236825749734
1/8,0,0.4654974501852693
1/9,0.0000031250000001037392,1.8367030927645152
1/10,0,1.2271126302083335
1/11,0,0.22152100145476503
1/12,0,0.2930836279263499
1/13,0,1.8719233469538532
1/14,0,0.3761778846153848
1/15,0,0.4597911005434782
1/16,0,1.5106386310700166
1/17,0,1.4167176870748297
1/21,0.0000031250000001037392,0.05515521064301552
1/22,0,1.0522445820433437
1/24,0,0.36979166666666674
2/9,0.775390625,3.5588461538461544
2/10,0,0.5636020074850008
2/11,0.02734375,1.1762603715728717
2/12,9.0390625,4.230090784612392
2/13,1.6122687499999984,2.16121830969888
2/14,26.913121875,12.244356151660378
2/17,6.14453125,6.582923418209874
2/18,0,0.16675688244047618
2/19,1.55859375,2.270422894021739
2/20,0,0.3968531468531469
2/24,6.68359375,9.560022378516624
3/1,0.2890625,2.0699265069169965
3/2,5.908203125,8.946286848072564
3/3,2.1015625,7.0356872294372295
3/21,1.7757656250000196,3.598449248120301
3/22,0.6734531249999804,1.7152934457036022
3/23,3.642578125,3.317303791138285
3/24,0.208984375,2.355636770518484
3/31,0.45703125,2.065676510989011
4/1,1.154296875,1.609212239583333
4/2,20.4296875,8.408592763573232
4/3,0.69921875,2.3078734627074327
4/4,0.017578125,0.8863304374891973
4/5,10.07421875,4.762632685842321
4/6,16.9140625,6.087646041288565
4/7,10.255859375,5.813588990644018
4/8,2.69921875,2.531229930294486
4/9,5.333984375,3.771032262731483
4/10,0.71875,2.1875
4/11,3.634765625,2.1875
4/12,2.96484375,2.1875
4/13,14.10546875,2.1875
4/14,3.544921875,2.1875
4/15,7.28125,2.1875
4/16,2.818359375,2.1875
4/17,7.697265625,2.1875
4/18,15.015625,2.1875
4/19,4.947265625,2.1875
4/20,17.984375,1.334016393442623
5/10,0.447265625,0
5/11,3.248046875,0
5/12,10.953125,0
5/13,1.501953125,0
5/16,0.751953125,0
5/17,23.728515625,0
5/18,9.24609375,0
5/19,1.095703125,0
5/20,1.99609375,0
5/21,4.669921875,0
5/22,0.08137499999997998,0
5/23,20.02409375000002,0
5/24,1.029296875,0
5/25,28.01171875,0
5/26,5.806640625,0
5/27,7.826171875,0
5/28,6.4609375,0
5/29,10.109375,0
5/30,4.019765624999991,0
5/31,32.82398437500001,0
6/1,13.740234375,0
6/2,1.84765625,0
6/3,2.515625,0
6/4,5.767578125,0
6/5,2.892578125,0
6/6,3.392578125,0
6/7,0.33203125,0
6/8,3.828125,0
6/9,0.126953125,0
6/10,4.95703125,0
6/11,3.640625,0
6/12,2.43359375,0
6/13,3.869140625,0
6/14,1.375,0
6/15,2.119140625,0
6/16,2.568359375,0
6/17,0.9296875,0
6/18,6.45703125,0
6/19,4.869140625,0
6/20,0.48046875,0
6/21,1.02734375,0
6/22,2.45703125,0
6/23,5.28125,0
6/24,5.173828125,0
6/25,5.40625,0
6/26,0.650390625,0
6/27,4.0390625,0
6/28,14.3671875,6.313922394457422
6/29,2.99609375,3.6497982274788856
6/30,2.943359375,2.262112564185283
7/1,0.0546875,0.8835131019955207
7/2,1.033203125,1.4552972200069765
7/3,2.615234375,2.0486816862698727
7/4,4.322265625,2.65989335201069
7/5,2.1796875,1.5846215618715942
7/6,2.078125,1.3678273364489948
7/7,3.734375,2.9845589609003498
7/8,2.6640625,2.0112507059812077
7/9,4.296875,2.681422302351671
7/10,0.043124999999918145,0.04432529068328856
7/11,9.646328125000082,3.248476752158764
7/12,4.486328125,2.78626498096605
7/13,3.4609375,3.219873198799402
7/14,1.982421875,2.348468678280258
7/15,4.533203125,2.97657294505206
7/16,1.6875,2.0590387747783314
7/18,5.92578125,4.753556964410671
7/19,5.751953125,3.592997916467572
7/20,4.8984375,2.9896565961548993
7/21,3.1484375,2.4894096917830617
7/22,1.072265625,1.960555902440986
7/23,2.17578125,1.9389009173869816
7/24,3.60546875,2.3165143507005683
7/25,4.671875,3.107644230649712
7/26,3.599609375,2.5840621658233465
7/27,1.05078125,1.4564763022668832
7/28,0.16796875,0.903671219719599
7/29,5.984375,3.0096985863020405
7/30,7.23046875,3.955167954355624
7/31,0.8046875,1.4337604161739967
8/1,2.83203125,2.5569585714107124
8/2,2.0234375,2.0580555568985086
8/3,3.267578125,2.3453930358682236
8/4,5.416015625,2.901591212517294
8/5,1.943359375,1.774313742137287
8/6,4.830078125,2.7088243116731565
8/7,2.80078125,2.0234690823036208
8/8,4.427734375,2.4907127400520443
8/9,1.474609375,1.7409797390820476
8/10,5.779296875,2.954377668386357
8/11,2.236328125,1.928144670791666
8/12,1.310546875,1.3919149195371563
8/13,1.423828125,1.7211083118464543
8/14,9.650390625,4.495855138298704
8/15,2.513671875,2.2131884662800156
8/16,1.64453125,1.6131308686967518
8/17,1.52734375,1.853160306886062
8/18,2.095703125,1.7120794215175836
8/19,2.236328125,1.9365981184517609
8/20,3.130859375,2.198158987738712
8/21,1.966796875,2.2799773818383016
8/22,2.89453125,2.381851556420471
8/23,0.04296875,0.4906656817127813
8/24,2.486328125,1.957155032871862
8/25,1.5390625,1.9426699518771984
8/26,1.00390625,1.6048673927567494
8/27,2.603515625,2.106634853186528
8/28,2.341796875,2.105730604084691
8/29,2.27734375,1.6009920317850983
8/30,2.96875,1.9345613404212372
8/31,5.140625,2.8267317080727334
9/1,0.48828125,1.4575507443260474
9/2,0,0.4694061365792786
9/3,0.3203125,1.070643856896917
9/4,1.7421875,1.9208831680419631
9/5,1.06640625,1.9668426712715696
9/6,0.013671875,0.8514423017535134
9/7,0.50390625,0.8742652391052873
9/8,4.388671875,2.729488619071708
9/9,1.138671875,1.7066786040937103
9/10,1.87109375,2.007745353483084
9/11,1.69921875,2.008129868734016
9/12,1.431640625,1.712714163998599
9/13,0.23671874999990905,3.136516063161544
9/14,1.122656250000091,4.637668573008361
9/15,1.70703125,1.6187929988373435
9/16,4.001953125,2.867861685867597
9/17,0,0.6313105888732636
9/18,0,0.2836772667308482
9/19,0.091796875,0.8243264336191783
9/20,0,0.49310866783028656
9/21,0.03515625,0.6174526469879535
9/22,0.0014062499999454303,0.6554674206492602
9/23,0.11968750000005456,1.111322773057246
9/24,6.541015625,3.293562488939438
9/25,5.634765625,3.453523817623571
9/26,0,0.3729011578687085
9/27,0.482421875,0.8933886492721806
9/28,0,0.29594102618211454
9/29,0.47265625,0.9786051740494413
9/30,2.53125,1.2230003342957136
10/1,8.388671875,4.293929555431528
10/2,11.701171875,5.502918917251624
10/3,2.052734375,5.162426168083343
10/4,0,4.623567798141681
10/5,0,8.451630698683687
10/6,0,2.3601604018232547
10/7,0,1.330712833950782
10/8,0,1.3570674681361734
