Last 365 - Daily (Wind)
Time,Value,Avg. Wind Speed
10/20,0,0.8221153846153847
10/21,0.076171875,0.16422872340425532
10/22,0.001953125,0
10/23,0.046875,0
10/24,0.162109375,0
10/25,0.09765625,0
10/26,0.0859375,0
10/27,0,0
10/28,0,0
10/29,0,0
10/30,0.0546875,0
10/31,0.009761249999999944,0
11/1,0.000004375000000056417,0
11/2,0,0
11/3,0,0
11/4,0,0
11/5,0,0
11/6,0.05078125,0
11/7,0.0546875,0
11/8,0.041015625,1.9799952651515145
11/9,0.0703125,2.0298523428731765
11/10,0.06640625,4.7454204504985755
11/11,0,1.8896399211446775
11/12,0,0.00318390376984127
11/13,0,0
11/14,0,0
11/15,0,0
11/16,0,0
11/17,0,0
11/18,0.05859375,1.9729261687679935
11/19,0.169921875,4.159336670274171
11/20,0.0859375,7.125
11/21,0.05859375,7.125
11/22,0.2265625,7.125
11/23,0.125,7.125
11/24,0,7.125
11/25,0,7.125
11/26,0,7.125
11/27,0.0546875,7.125
11/28,0.005859375,7.125
11/29,0,7.125
11/30,0,7.125
12/1,0,7.125
12/2,0.099609375,7.125
12/3,0.017578125,7.125
12/4,0,7.125
12/5,0,7.125
12/6,0.005859375,7.125
12/7,0,7.125
12/8,0.0546875,7.125
12/9,0.07421875,7.125
12/10,0.130859375,7.125
12/11,0.08984375,7.125
12/12,0,7.125
12/13,0,2.96875
12/14,0.09375,0
12/15,0,0
12/16,0,0
12/17,0,0
12/18,0.25,0
12/19,0.1484375,0
12/20,0,0
12/21,0,0
12/22,0,0
12/23,0,0
12/24,0,0
12/25,0.0546875,0
12/26,0.08203125,0
12/27,0.01953125,0
12/28,0.080078125,0
12/29,0.20703125,0
12/30,0.171875,0
12/31,0,0
1/1,0,0
1/2,0,0
1/3,0,0
1/4,0,0
1/5,0,0
1/6,0,0
1/7,0,0
1/8,0,0
1/9,0,0
1/10,0,0
1/11,0,0
1/12,0,0
1/13,0.01953125,0
1/14,0,0
1/15,0,0
1/16,0.16015625,0
1/17,0,0
1/18,0.005859375,0
1/19,0.046875,0
1/20,0,0
1/21,0,0
1/22,0,0
1/23,0,0
1/24,0,0
1/25,0,0
1/26,0,0
1/27,0,0
1/28,0.01171875,0
1/29,0.0859375,0
1/30,0.02734375,0
1/31,0.001953125,0
2/2,0,0
2/3,0,0
2/4,0,0
2/5,0.015625,0
2/6,0,0
2/7,0.1640625,0
2/8,0,0
2/9,0,0
2/10,0,0
2/11,0,0
2/12,0.001953125,0
2/13,0.0000024999999999053557,0
2/14,0.2304662500000001,0
2/15,0.2265625,0
2/16,0.123046875,0
2/17,0.107421875,1.7648070245726488
2/18,0,0.07231104290674603
2/19,0.056640625,2.4042866890714207
2/20,0,1.447901870265152
2/21,0,0.3733202804289821
2/22,0.009765625,1.0054505197734365
2/23,0.099609375,2.132838541666666
2/24,0.044921875,3.959752038043479
2/25,0.009765625,2.386025586072291
2/26,0,0.5618273103961412
2/27,0,0
2/28,0.0078125,0
3/1,0,0
3/2,0.064453125,0
3/3,0.005859375,0
3/4,0,0
3/5,0.015625,0
3/6,0.01171875,0
3/7,0.162109375,0
3/8,0.130859375,0
3/9,0,0
3/10,0.140625,0
3/11,0.095703125,0
3/12,0.041015625,0
3/13,0.1210981249999996,0
3/14,0.011714375000000388,0
3/15,0.044921875,0
3/16,0.171875,0
3/17,0.013671875,0
3/18,0.189453125,0
3/19,0.115234375,0
3/20,0.09765625,0
3/21,0.19140625,0
3/22,0,0
3/23,0.064453125,0
3/24,0.15625,0
3/25,0.091796875,0
3/26,0.2421875,0
3/27,0.216796875,0
3/28,0.005859375,0
3/29,0.107421875,0
3/30,0,0
3/31,0,0
4/1,0.017578125,0
4/2,0.14453125,0
4/3,0,0
4/4,0,0
4/5,0.0625,0
4/6,0.208984375,0
4/7,0.171875,0
4/8,0,0
4/9,0.111328125,0
4/10,0.037109375,0
4/11,0.068359375,0
4/12,0.076171875,0
4/13,0.2890625,0
4/14,0.154296875,0
4/15,0.048828125,0
4/16,0.087890625,0
4/17,0.1875,0
4/18,0.205078125,0
4/19,0.123046875,0
4/20,0.2890625,0
4/21,0.26171875,0
4/22,0,0
4/23,0,0
4/24,0.103515625,0
4/25,0.26171875,0
4/26,0.037109375,0
4/27,0.08984375,0
4/28,0.13443750000000065,0
4/29,0.20540624999999935,0
5/1,0,0
5/2,0.06640625,0
5/3,0.033203125,0
5/4,0,0
5/5,0.05078125,0
5/6,0.09210312499999951,0
5/7,0.1598500000000005,0
5/8,0.189453125,0
5/9,0.072265625,0
5/10,0,0
5/11,0.056640625,0
5/12,0.06640625,0
5/13,0.0234375,0
5/16,0.03515625,0
5/17,0.0859375,0
5/18,0.08984375,0
5/19,0.009765625,0
5/20,0.07421875,0
5/21,0.005859375,0
5/22,0.0015812499999992013,0
5/23,0.2562312500000008,0
5/24,0.041015625,0
5/25,0.212890625,0
5/26,0.24609375,0
5/27,0.2265625,0
5/28,0.072265625,0
5/29,0.169921875,0
5/30,0.0625,0
5/31,0.244140625,0
6/1,0.279296875,0
6/2,0.03515625,0
6/3,0.017578125,0
6/4,0.083984375,0
6/5,0.052734375,0
6/6,0.322265625,0
6/7,0.130859375,0
6/8,0.25,0
6/9,0,0
6/10,0.166015625,0
6/11,0.263671875,0
6/12,0.177734375,0
6/13,0.0546875,0
6/14,0.044921875,0
6/15,0.302734375,0
6/16,0.048828125,0
6/17,0.048828125,0
6/18,0.1328125,0
6/19,0.009765625,0
6/20,0,0
6/21,0.109375,0
6/22,0.072265625,1.8010612910730392
6/23,0.146484375,3.656397323959355
6/24,0.22265625,3.6021399976808266
6/25,0.173828125,2.957635823510484
6/26,0.041015625,2.167367497803873
6/27,0.07421875,2.4906388647421456
6/28,0.240234375,5.771258822800529
6/29,0.09375,4.2255505560651025
6/30,0.10546875,2.3749520246142377
7/1,0,1.372768983110657
7/2,0.087890625,1.8023703949359788
7/3,0.107421875,2.5572184528337223
7/4,0.142578125,2.6649821329328476
7/5,0.04296875,1.9986802686701397
7/6,0.072265625,2.7425746698620586
7/7,0.158203125,4.058282921194699
7/8,0.1015625,2.253695892280537
7/9,0.07421875,2.3601485644139015
7/10,0.001796875000000142,0.234063269602822
7/11,0.27359374999999986,2.769876638544613
7/12,0.1953125,3.481810096457456
7/13,0.376953125,4.037179781826469
7/14,0.13671875,2.8687418445783877
7/15,0.169921875,3.867111523615273
7/16,0.09375,2.689159866235805
7/18,0.10546875,3.9785246826022735
7/19,0.181640625,3.468203129728744
7/20,0.158203125,2.8321044935300375
7/21,0.078125,2.905152015859798
7/22,0.12890625,2.512040653703155
7/23,0.1015625,2.4182052139184265
7/24,0.12890625,2.9238597160079327
7/25,0.10546875,2.4553546713502175
7/26,0.111328125,2.379751389584516
7/27,0.046875,1.9329560044457923
7/28,0.052734375,1.3461357298482173
7/29,0.080078125,2.530783235701541
7/30,0.103515625,2.471929077687012
7/31,0.064453125,1.6158113731537898
8/1,0.091796875,2.0542821086458174
8/2,0.056640625,2.32477391236744
8/3,0.08984375,2.4575629738667466
8/4,0.16015625,3.161074282258029
8/5,0.0703125,2.47869850427129
8/6,0.125,2.905684109368083
8/7,0.166015625,3.043235783624226
8/8,0.166015625,3.1169740684591924
8/9,0.12109375,2.3076067159634217
8/10,0.138671875,3.323579089747183
8/11,0.08203125,2.5173320825996295
8/12,0.115234375,2.5343756520552088
8/13,0.0546875,1.5861136095072146
8/14,0.12109375,3.091667384719454
8/15,0.1015625,2.6572642069610555
8/16,0.091796875,2.0295914765368885
8/17,0.0546875,2.207243938632644
8/18,0.076171875,2.2161805459992396
8/19,0.09375,2.826206569424772
8/20,0.130859375,2.5554050314630974
8/21,0.11328125,2.3970692653283523
8/22,0.056640625,2.1635750218935708
8/23,0.02734375,1.262471807614385
8/24,0.04296875,2.0218302536804877
8/25,0.048828125,1.6696533188443234
8/26,0.033203125,1.797737067100898
8/27,0.033203125,1.816046147546541
8/28,0.025390625,2.106281020474026
8/29,0.06640625,1.999424130702086
8/30,0.09765625,2.36116866799024
8/31,0.046875,2.7699855464222263
9/1,0.01171875,1.394045619344604
9/2,0,0.7620924455141035
9/3,0,0.731310498599969
9/4,0.08984375,2.204637471887858
9/5,0.080078125,3.094100044440074
9/6,0,0.8255519467452005
9/7,0.02734375,1.6504156484633048
