Last 365 - Daily (Wind)
Time,Value,Avg. Wind Speed
10/20,0,0.8221153846153847
10/21,0.48046875,0.16422872340425532
10/22,0.251953125,0
10/23,0.51171875,0
10/24,0.763671875,0
10/25,0.853515625,0
10/26,0.474609375,0
10/27,0,0
10/28,0.060546875,0
10/29,0,0
10/30,0.6484375,0
10/31,0.12499812500000028,0
11/1,0.000001874999999706972,0
11/2,0,0
11/3,0,0
11/4,0,0
11/5,0,0
11/6,0.728515625,0
11/7,0.43359375,0
11/8,0.482421875,1.9799952651515145
11/9,0.525390625,2.0298523428731765
11/10,0.603515625,4.7454204504985755
11/11,0,1.8896399211446775
11/12,0.01953125,0.00318390376984127
11/13,0,0
11/14,0,0
11/15,0,0
11/16,0.0859375,0
11/17,0,0
11/18,0.41796875,1.9729261687679935
11/19,0.91796875,4.159336670274171
11/20,0.736328125,7.125
11/21,0.6328125,7.125
11/22,2.1640625,7.125
11/23,1.099609375,7.125
11/24,0,7.125
11/25,0,7.125
11/26,0,7.125
11/27,0.7578125,7.125
11/28,0.380859375,7.125
11/29,0.017578125,7.125
11/30,0,7.125
12/1,0,7.125
12/2,0.59765625,7.125
12/3,0.140625,7.125
12/4,0,7.125
12/5,0,7.125
12/6,0.193359375,7.125
12/7,0,7.125
12/8,0.451171875,7.125
12/9,0.630859375,7.125
12/10,1.095703125,7.125
12/11,0.626953125,7.125
12/12,0,7.125
12/13,0.03125,2.96875
12/14,0.65625,0
12/15,0.017578125,0
12/16,0,0
12/17,0,0
12/18,0.453125,0
12/19,0.564453125,0
12/20,0.0625,0
12/21,0,0
12/22,0,0
12/23,0,0
12/24,0,0
12/25,0.365234375,0
12/26,0.669921875,0
12/27,0.107421875,0
12/28,0.55078125,0
12/29,1.896484375,0
12/30,1.041015625,0
12/31,0,0
1/1,0,0
1/2,0,0
1/3,0,0
1/4,0,0
1/5,0,0
1/6,0,0
1/7,0,0
1/8,0.08984375,0
1/9,0.029296875,0
1/10,0,0
1/11,0,0
1/12,0,0
1/13,0.28125,0
1/14,0,0
1/15,0,0
1/16,0.94921875,0
1/17,0.021484375,0
1/18,0.037109375,0
1/19,0.826171875,0
1/20,0,0
1/21,0,0
1/22,0.029296875,0
1/23,0,0
1/24,0,0
1/25,0,0
1/26,0,0
1/27,0,0
1/28,0.099609375,0
1/29,0.517578125,0
1/30,0.314453125,0
1/31,0.05859375,0
2/2,0,0
2/3,0,0
2/4,0,0
2/5,0.265625,0
2/6,0,0
